benchmark,model,seed,final_regret_vm,final_regret_slurm,auc_vm,auc_slurm,final_equal,auc_equal
Branin-Unfav,TwoStageJoint,52,3.184115231995301,3.184115231995301,3.184115231995301,3.184115231995301,True,True
Branin-Unfav,TwoStageJoint,53,4.142842528648427,4.142842528648427,5.168745480468279,5.168745480468279,True,True
Branin-Unfav,TwoStageJoint,54,2.5261993143651,2.5261993143651,3.946797239696297,3.946797239696297,True,True
Branin-Unfav,TwoStageJoint,55,3.3551091224877183,3.3551091224877183,5.826963153490182,5.826963153490182,True,True
Branin-Unfav,TwoStageJoint,56,3.180609312939413,3.180609312939413,6.724899050618815,6.724899050618815,True,True
Matbench-Gap,DomainAdaptationMMD,57,0.79,0.79,0.9879351032448364,0.9879351032448364,True,True
Matbench-Gap,DomainAdaptationMMD,58,0.4000000000000001,0.4000000000000001,1.2554572271386422,1.2554572271386422,True,True
Matbench-Gap,DomainAdaptationMMD,59,0.24,0.24,0.6234808259586997,0.6234808259586997,True,True
Matbench-Gap,DomainAdaptationMMD,60,0.1500000000000001,0.1500000000000001,0.2234513274336279,0.2234513274336279,True,True
Matbench-Gap,DomainAdaptationMMD,61,0.1,0.1,0.2690265486725652,0.2690265486725652,True,True
Matbench-Gap,TwoStageJoint,52,0.0,0.0,0.1828908554572262,0.1828908554572262,True,True
Matbench-Gap,TwoStageJoint,53,0.2000000000000001,0.2000000000000001,0.7002949852507359,0.7002949852507359,True,True
Matbench-Gap,TwoStageJoint,54,0.2999999999999998,0.2999999999999998,0.4681415929203527,0.4681415929203527,True,True
Matbench-Gap,TwoStageJoint,55,0.2000000000000001,0.2000000000000001,0.306194690265486,0.306194690265486,True,True
Matbench-Gap,TwoStageJoint,56,0.02,0.02,0.5787020648967539,0.5787020648967539,True,True
HOPV15,Sequential,57,0.0,0.0,2.615719696969685,2.615719696969685,True,True
HOPV15,Sequential,58,3.9,3.9,4.224810606060606,4.224810606060606,True,True
HOPV15,Sequential,59,0.0,0.0,1.880492424242416,1.880492424242416,True,True
HOPV15,Sequential,60,0.0,0.0,5.096780303030297,5.096780303030297,True,True
HOPV15,Sequential,61,3.499999999999999,3.499999999999999,4.460795454545451,4.460795454545451,True,True
HOPV15,Adapter,42,0.0,0.0,4.222916666666661,4.222916666666661,True,True
HOPV15,Adapter,43,3.9,3.9,4.7342803030303,4.7342803030303,True,True
HOPV15,Adapter,44,2.8999999999999995,2.8999999999999995,3.573295454545452,3.573295454545452,True,True
HOPV15,Adapter,45,3.9,3.9,4.666098484848481,4.666098484848481,True,True
HOPV15,Adapter,46,0.0,0.0,2.5321969696969577,2.5321969696969577,True,True
HOPV15,Curriculum,42,0.0,0.0,3.9244318181818114,3.9244318181818114,True,True
HOPV15,Curriculum,43,0.0,0.0,3.0066287878787743,3.0066287878787743,True,True
HOPV15,Curriculum,44,0.0,0.0,1.8964015151515063,1.8964015151515063,True,True
HOPV15,Curriculum,45,0.0,0.0,4.274053030303027,4.274053030303027,True,True
HOPV15,Curriculum,46,0.0,0.0,4.589772727272724,4.589772727272724,True,True
Park-Fav,DNGOJoint,52,0.0,0.0,0.2555072716616,0.2555072716616,True,True
