benchmark,model,ece_lf_mean,ece_lf_final,attainment,n_att,se
Matbench-Gap,Progressive,0.11838375413226036,0.10117413818021263,0.3891203703703704,40,0.0349379771920554
Matbench-Gap,Sequential,0.09964861803472139,0.08912014107531353,0.3726851851851852,40,0.0359049898121712
Matbench-Gap,Soft Parameter Sharing,0.11111387844658446,0.10097445633842903,0.4349537037037036,40,0.0358525079001275
Matbench-Gap,Sparse MFGP,0.18211509293675496,0.1883220831997629,0.3217592592592592,40,0.0398210948248518
Matbench-Gap,Stop-Gradient Joint,0.10706446902439593,0.08394442965105472,0.4092592592592592,40,0.0387586568077651
Park-Fav,Adapter,0.42329817901942784,0.3975,0.7815934065934066,40,0.0189486920213296
Park-Fav,DKL,0.15543917283324712,0.20875,0.8543956043956044,40,0.0103561796015822
Park-Fav,Domain Adaptation (MMD),0.4047642571345322,0.36124999999999996,0.8074175824175824,40,0.0146113879204765
Park-Fav,End-to-End Joint,0.40959575502015955,0.36275,0.8359890109890109,40,0.0150415987924699
Park-Fav,Feature-extraction transfer,0.4234338876723672,0.40449999999999997,0.7821428571428571,40,0.0173166350612559
Park-Fav,MFGP,0.14453653221550183,0.257,0.6153846153846153,40,0.018026753726072
Park-Fav,Pretrain-then-Joint,0.3877244259680027,0.364,0.939010989010989,40,0.0034064116149605
Park-Fav,Progressive,0.38966238462094593,0.364,0.9456043956043956,40,0.0019653802218391
Park-Fav,Sequential,0.42323765781707606,0.40199999999999997,0.7835164835164835,40,0.0167915244881137
Park-Fav,Soft Parameter Sharing,0.39457308109267436,0.3525,0.9412087912087912,40,0.0031612542748593
