benchmark,model,seed,fraction,n_hf,n_lf,n_train,pool,dim,numpy_fit_flops,numpy_predict_flops,fit_flops,predict_flops,ok,elapsed,err
Branin-Unfav,DKL Multi-Fidelity,42,1.0,24,52,76,2500,2,0,0,1955644000,1243898704,1,12.52,
Branin-Unfav,DKL Multi-Fidelity,43,0.1,2,5,7,2500,2,0,0,112516000,365345992,1,10.41,
Branin-Unfav,DKL Multi-Fidelity,43,0.3,7,16,23,2500,2,0,0,401684000,569000520,1,10.03,
Branin-Unfav,DKL Multi-Fidelity,43,0.5,12,26,38,2500,2,0,0,730904000,759963840,1,13.3,
Branin-Unfav,DKL Multi-Fidelity,43,0.7,17,36,53,2500,2,0,0,1137074000,950963160,1,9.1,
Branin-Unfav,DKL Multi-Fidelity,43,1.0,24,52,76,2500,2,0,0,1955644000,1243898704,1,9.11,
Branin-Unfav,Sequential,42,0.1,2,5,7,2500,2,13959558,22445000,46368646,65005000,1,0.68,
Branin-Unfav,Sequential,42,0.3,7,16,23,2500,2,14251353,22445000,120028889,65005000,1,0.7,
Branin-Unfav,Sequential,42,0.5,12,26,38,2500,2,14576148,22445000,188619284,65005000,1,0.87,
Branin-Unfav,Sequential,42,0.7,17,36,53,2500,2,14933943,22445000,257242679,65005000,1,0.94,
Branin-Unfav,Sequential,42,1.0,24,52,76,2500,2,15490296,22445000,363576568,65005000,1,0.98,
Branin-Unfav,Sequential,43,0.1,2,5,7,2500,2,13959558,22445000,46368646,65005000,1,3.59,
Branin-Unfav,Sequential,43,0.3,7,16,23,2500,2,14251353,22445000,120028889,65005000,1,1.12,
Branin-Unfav,Sequential,43,0.5,12,26,38,2500,2,14576148,22445000,188619284,65005000,1,1.19,
Branin-Unfav,Sequential,43,0.7,17,36,53,2500,2,14933943,22445000,257242679,65005000,1,1.17,
Branin-Unfav,Sequential,43,1.0,24,52,76,2500,2,15490296,22445000,363576568,65005000,1,1.14,
Branin-Unfav,Curriculum,42,0.1,2,5,7,2500,2,13959558,22445000,53246598,65005000,1,1.55,
Branin-Unfav,Curriculum,42,0.3,7,16,23,2500,2,14251353,22445000,119711577,65005000,1,1.54,
Branin-Unfav,Curriculum,42,0.5,12,26,38,2500,2,14576148,22445000,187247124,65005000,1,1.57,
Branin-Unfav,Curriculum,42,0.7,17,36,53,2500,2,14933943,22445000,255433143,65005000,1,1.59,
Branin-Unfav,Curriculum,42,1.0,24,52,76,2500,2,15490296,22445000,361724152,65005000,1,1.56,
Branin-Unfav,Curriculum,43,0.1,2,5,7,2500,2,13959558,22445000,53246598,65005000,1,1.47,
Branin-Unfav,Curriculum,43,0.3,7,16,23,2500,2,14251353,22445000,119711577,65005000,1,4.11,
Branin-Unfav,Curriculum,43,0.5,12,26,38,2500,2,14576148,22445000,187247124,65005000,1,1.47,
Branin-Unfav,Curriculum,43,0.7,17,36,53,2500,2,14933943,22445000,255433143,65005000,1,1.6,
Branin-Unfav,Curriculum,43,1.0,24,52,76,2500,2,15490296,22445000,361724152,65005000,1,1.58,
Branin-Unfav,DNGO-Gradient,42,0.1,2,5,7,2500,2,13959558,22445000,83194246,65005000,1,2.61,
Branin-Unfav,DNGO-Gradient,42,0.3,7,16,23,2500,2,14251353,22445000,245097689,65005000,1,2.58,
Branin-Unfav,DNGO-Gradient,42,0.5,12,26,38,2500,2,14576148,22445000,399384084,65005000,1,5.08,
Branin-Unfav,DNGO-Gradient,42,0.7,17,36,53,2500,2,14933943,22445000,553703479,65005000,1,2.68,
Branin-Unfav,DNGO-Gradient,42,1.0,24,52,76,2500,2,15490296,22445000,785106168,65005000,1,2.6,
Branin-Unfav,DNGO-Gradient,43,0.1,2,5,7,2500,2,13959558,22445000,83194246,65005000,1,4.72,
Branin-Unfav,DNGO-Gradient,43,0.3,7,16,23,2500,2,14251353,22445000,245097689,65005000,1,2.04,
Branin-Unfav,DNGO-Gradient,43,0.5,12,26,38,2500,2,14576148,22445000,399384084,65005000,1,2.71,
Branin-Unfav,DNGO-Gradient,43,0.7,17,36,53,2500,2,14933943,22445000,553703479,65005000,1,4.38,
Branin-Unfav,DNGO-Gradient,43,1.0,24,52,76,2500,2,15490296,22445000,785106168,65005000,1,2.22,
Branin-Unfav,Progressive,42,0.1,2,5,7,2500,2,13959558,22445000,31085446,65005000,1,0.49,
Branin-Unfav,Progressive,42,0.3,7,16,23,2500,2,14251353,22445000,70358489,65005000,1,0.51,
Branin-Unfav,Progressive,42,0.5,12,26,38,2500,2,14576148,22445000,107108884,65005000,1,0.52,
Branin-Unfav,Progressive,42,0.7,17,36,53,2500,2,14933943,22445000,143892279,65005000,1,0.5,
Branin-Unfav,Progressive,42,1.0,24,52,76,2500,2,15490296,22445000,200555768,65005000,1,0.59,
Branin-Unfav,Progressive,43,0.1,2,5,7,2500,2,13959558,22445000,31085446,65005000,1,0.53,
Branin-Unfav,Progressive,43,0.3,7,16,23,2500,2,14251353,22445000,70358489,65005000,1,0.52,
Branin-Unfav,Progressive,43,0.5,12,26,38,2500,2,14576148,22445000,107108884,65005000,1,0.69,
Branin-Unfav,Progressive,43,0.7,17,36,53,2500,2,14933943,22445000,143892279,65005000,1,0.66,
Branin-Unfav,Progressive,43,1.0,24,52,76,2500,2,15490296,22445000,200555768,65005000,1,0.7,
Branin-Unfav,Two-Stage Joint,42,0.1,2,5,7,2500,2,13959558,22445000,49866886,65005000,1,0.95,
Branin-Unfav,Two-Stage Joint,42,0.3,7,16,23,2500,2,14251353,22445000,132260057,65005000,1,0.99,
Branin-Unfav,Two-Stage Joint,42,0.5,12,26,38,2500,2,14576148,22445000,209574932,65005000,1,3.62,
Branin-Unfav,Two-Stage Joint,42,0.7,17,36,53,2500,2,14933943,22445000,286922807,65005000,1,0.97,
Branin-Unfav,Two-Stage Joint,42,1.0,24,52,76,2500,2,15490296,22445000,405487864,65005000,1,1.4,
Branin-Unfav,Two-Stage Joint,43,0.1,2,5,7,2500,2,13959558,22445000,49866886,65005000,1,1.37,
Branin-Unfav,Two-Stage Joint,43,0.3,7,16,23,2500,2,14251353,22445000,132260057,65005000,1,1.37,
Branin-Unfav,Two-Stage Joint,43,0.5,12,26,38,2500,2,14576148,22445000,209574932,65005000,1,1.4,
Branin-Unfav,Two-Stage Joint,43,0.7,17,36,53,2500,2,14933943,22445000,286922807,65005000,1,0.9,
Branin-Unfav,Two-Stage Joint,43,1.0,24,52,76,2500,2,15490296,22445000,405487864,65005000,1,0.78,
Branin-Unfav,DNGO-Joint,42,0.1,2,5,7,2500,2,13959558,22445000,72826246,65005000,1,1.35,
Branin-Unfav,DNGO-Joint,42,0.3,7,16,23,2500,2,14251353,22445000,208809689,65005000,1,4.96,
Branin-Unfav,DNGO-Joint,42,0.5,12,26,38,2500,2,14576148,22445000,337176084,65005000,1,2.53,
Branin-Unfav,DNGO-Joint,42,0.7,17,36,53,2500,2,14933943,22445000,465575479,65005000,1,2.07,
